MSOA11CD,MSOA11NM,LocalAuthority,child_poverty_prop,Region,Borough,Code
E02000001,City of London 001,City of London,0.052592036,Central,City of London,E09000001
E02000002,Barking and Dagenham 001,Barking and Dagenham,0.273854962,East,Barking and Dagenham,E09000002
E02000003,Barking and Dagenham 002,Barking and Dagenham,0.246671887,East,Barking and Dagenham,E09000002
E02000004,Barking and Dagenham 003,Barking and Dagenham,0.201966717,East,Barking and Dagenham,E09000002
E02000005,Barking and Dagenham 004,Barking and Dagenham,0.231935143,East,Barking and Dagenham,E09000002
E02000007,Barking and Dagenham 006,Barking and Dagenham,0.289297068,East,Barking and Dagenham,E09000002
E02000008,Barking and Dagenham 007,Barking and Dagenham,0.283377936,East,Barking and Dagenham,E09000002
E02000009,Barking and Dagenham 008,Barking and Dagenham,0.280229746,East,Barking and Dagenham,E09000002
E02000010,Barking and Dagenham 009,Barking and Dagenham,0.236261532,East,Barking and Dagenham,E09000002
E02000011,Barking and Dagenham 010,Barking and Dagenham,0.253855279,East,Barking and Dagenham,E09000002
E02000012,Barking and Dagenham 011,Barking and Dagenham,0.254398827,East,Barking and Dagenham,E09000002
E02000013,Barking and Dagenham 012,Barking and Dagenham,0.247815727,East,Barking and Dagenham,E09000002
E02000014,Barking and Dagenham 013,Barking and Dagenham,0.246936502,East,Barking and Dagenham,E09000002
E02000015,Barking and Dagenham 014,Barking and Dagenham,0.318223867,East,Barking and Dagenham,E09000002
E02000016,Barking and Dagenham 015,Barking and Dagenham,0.273214884,East,Barking and Dagenham,E09000002
E02000017,Barking and Dagenham 016,Barking and Dagenham,0.305147059,East,Barking and Dagenham,E09000002
E02000018,Barking and Dagenham 017,Barking and Dagenham,0.246609565,East,Barking and Dagenham,E09000002
E02000019,Barking and Dagenham 018,Barking and Dagenham,0.24592121,East,Barking and Dagenham,E09000002
E02000020,Barking and Dagenham 019,Barking and Dagenham,0.253607696,East,Barking and Dagenham,E09000002
E02000021,Barking and Dagenham 020,Barking and Dagenham,0.2299444,East,Barking and Dagenham,E09000002
E02000022,Barking and Dagenham 021,Barking and Dagenham,0.325382698,East,Barking and Dagenham,E09000002
E02000023,Barking and Dagenham 022,Barking and Dagenham,0.263452915,East,Barking and Dagenham,E09000002
E02000024,Barnet 001,Barnet,0.093828399,North,Barnet,E09000003
E02000025,Barnet 002,Barnet,0.099701493,North,Barnet,E09000003
E02000026,Barnet 003,Barnet,0.094545455,North,Barnet,E09000003
E02000027,Barnet 004,Barnet,0.164502165,North,Barnet,E09000003
E02000028,Barnet 005,Barnet,0.107511046,North,Barnet,E09000003
E02000029,Barnet 006,Barnet,0.118651685,North,Barnet,E09000003
E02000030,Barnet 007,Barnet,0.111303345,North,Barnet,E09000003
E02000031,Barnet 008,Barnet,0.058823529,North,Barnet,E09000003
E02000032,Barnet 009,Barnet,0.103341584,North,Barnet,E09000003
E02000033,Barnet 010,Barnet,0.152987158,North,Barnet,E09000003
E02000034,Barnet 011,Barnet,0.125065686,North,Barnet,E09000003
E02000035,Barnet 012,Barnet,0.092505855,North,Barnet,E09000003
E02000036,Barnet 013,Barnet,0.149161196,North,Barnet,E09000003
E02000037,Barnet 014,Barnet,0.110064078,North,Barnet,E09000003
E02000038,Barnet 015,Barnet,0.118600683,North,Barnet,E09000003
E02000039,Barnet 016,Barnet,0.078709677,North,Barnet,E09000003
E02000040,Barnet 017,Barnet,0.129201681,North,Barnet,E09000003
E02000041,Barnet 018,Barnet,0.158655891,North,Barnet,E09000003
E02000042,Barnet 019,Barnet,0.090008258,North,Barnet,E09000003
E02000043,Barnet 020,Barnet,0.043855176,North,Barnet,E09000003
E02000044,Barnet 021,Barnet,0.209876543,North,Barnet,E09000003
E02000045,Barnet 022,Barnet,0.1439523,North,Barnet,E09000003
E02000046,Barnet 023,Barnet,0.061179898,North,Barnet,E09000003
E02000047,Barnet 024,Barnet,0.233596702,North,Barnet,E09000003
E02000048,Barnet 025,Barnet,0.082651743,North,Barnet,E09000003
E02000049,Barnet 026,Barnet,0.326113117,North,Barnet,E09000003
E02000050,Barnet 027,Barnet,0.133509003,North,Barnet,E09000003
E02000051,Barnet 028,Barnet,0.077345036,North,Barnet,E09000003
E02000052,Barnet 029,Barnet,0.101050525,North,Barnet,E09000003
E02000053,Barnet 030,Barnet,0.159976731,North,Barnet,E09000003
E02000054,Barnet 031,Barnet,0.139285714,North,Barnet,E09000003
E02000055,Barnet 032,Barnet,0.142730102,North,Barnet,E09000003
E02000056,Barnet 033,Barnet,0.030776515,North,Barnet,E09000003
E02000057,Barnet 034,Barnet,0.121552127,North,Barnet,E09000003
E02000058,Barnet 035,Barnet,0.088223055,North,Barnet,E09000003
E02000059,Barnet 036,Barnet,0.225848003,North,Barnet,E09000003
E02000060,Barnet 037,Barnet,0.13654169,North,Barnet,E09000003
E02000061,Barnet 038,Barnet,0.06536347,North,Barnet,E09000003
E02000062,Barnet 039,Barnet,0.2183345,North,Barnet,E09000003
E02000063,Barnet 040,Barnet,0.131512071,North,Barnet,E09000003
E02000064,Barnet 041,Barnet,0.181749049,North,Barnet,E09000003
E02000065,Bexley 001,Bexley,0.205544554,East,Bexley,E09000004
E02000066,Bexley 002,Bexley,0.253515468,East,Bexley,E09000004
E02000067,Bexley 003,Bexley,0.19601464,East,Bexley,E09000004
E02000068,Bexley 004,Bexley,0.219302437,East,Bexley,E09000004
E02000069,Bexley 005,Bexley,0.164705882,East,Bexley,E09000004
E02000070,Bexley 006,Bexley,0.156401384,East,Bexley,E09000004
E02000071,Bexley 007,Bexley,0.18922229,East,Bexley,E09000004
E02000072,Bexley 008,Bexley,0.210451576,East,Bexley,E09000004
E02000073,Bexley 009,Bexley,0.135926993,East,Bexley,E09000004
E02000074,Bexley 010,Bexley,0.217118998,East,Bexley,E09000004
E02000075,Bexley 011,Bexley,0.10212766,East,Bexley,E09000004
E02000077,Bexley 013,Bexley,0.134495641,East,Bexley,E09000004
E02000078,Bexley 014,Bexley,0.111333333,East,Bexley,E09000004
E02000079,Bexley 015,Bexley,0.109555691,East,Bexley,E09000004
E02000080,Bexley 016,Bexley,0.136831276,East,Bexley,E09000004
E02000081,Bexley 017,Bexley,0.135953608,East,Bexley,E09000004
E02000082,Bexley 018,Bexley,0.109211252,East,Bexley,E09000004
E02000083,Bexley 019,Bexley,0.188954635,East,Bexley,E09000004
E02000084,Bexley 020,Bexley,0.121868979,East,Bexley,E09000004
E02000085,Bexley 021,Bexley,0.139825218,East,Bexley,E09000004
E02000086,Bexley 022,Bexley,0.096313017,East,Bexley,E09000004
E02000087,Bexley 023,Bexley,0.087357955,East,Bexley,E09000004
E02000088,Bexley 024,Bexley,0.095567867,East,Bexley,E09000004
E02000089,Bexley 025,Bexley,0.061568373,East,Bexley,E09000004
E02000090,Bexley 026,Bexley,0.091946734,East,Bexley,E09000004
E02000091,Bexley 027,Bexley,0.100364964,East,Bexley,E09000004
E02000092,Bexley 028,Bexley,0.200264375,East,Bexley,E09000004
E02000093,Brent 001,Brent,0.228817028,West,Brent,E09000005
E02000094,Brent 002,Brent,0.199106256,West,Brent,E09000005
E02000095,Brent 003,Brent,0.201528176,West,Brent,E09000005
E02000096,Brent 004,Brent,0.16056338,West,Brent,E09000005
E02000097,Brent 005,Brent,0.189522342,West,Brent,E09000005
E02000098,Brent 006,Brent,0.206349206,West,Brent,E09000005
E02000099,Brent 007,Brent,0.217898833,West,Brent,E09000005
E02000100,Brent 008,Brent,0.095910781,West,Brent,E09000005
E02000101,Brent 009,Brent,0.167721519,West,Brent,E09000005
E02000102,Brent 010,Brent,0.214399153,West,Brent,E09000005
E02000103,Brent 011,Brent,0.184559159,West,Brent,E09000005
E02000104,Brent 012,Brent,0.193324061,West,Brent,E09000005
E02000105,Brent 013,Brent,0.167272727,West,Brent,E09000005
E02000106,Brent 014,Brent,0.203362034,West,Brent,E09000005
E02000107,Brent 015,Brent,0.128467153,West,Brent,E09000005
E02000108,Brent 016,Brent,0.157825802,West,Brent,E09000005
E02000109,Brent 017,Brent,0.162675475,West,Brent,E09000005
E02000110,Brent 018,Brent,0.130550033,West,Brent,E09000005
E02000111,Brent 019,Brent,0.213394343,West,Brent,E09000005
E02000112,Brent 020,Brent,0.17967968,West,Brent,E09000005
E02000113,Brent 021,Brent,0.225997046,West,Brent,E09000005
E02000114,Brent 022,Brent,0.145132743,West,Brent,E09000005
E02000115,Brent 023,Brent,0.138996139,West,Brent,E09000005
E02000116,Brent 024,Brent,0.195215311,West,Brent,E09000005
E02000117,Brent 025,Brent,0.168693009,West,Brent,E09000005
E02000118,Brent 026,Brent,0.291512915,West,Brent,E09000005
E02000119,Brent 027,Brent,0.196740859,West,Brent,E09000005
E02000120,Brent 028,Brent,0.138765118,West,Brent,E09000005
E02000121,Brent 029,Brent,0.276586801,West,Brent,E09000005
E02000122,Brent 030,Brent,0.098489823,West,Brent,E09000005
E02000123,Brent 031,Brent,0.14258347,West,Brent,E09000005
E02000124,Brent 032,Brent,0.093103448,West,Brent,E09000005
E02000125,Brent 033,Brent,0.10770751,West,Brent,E09000005
E02000126,Brent 034,Brent,0.23718593,West,Brent,E09000005
E02000127,Bromley 001,Bromley,0.201476335,South,Bromley,E09000006
E02000128,Bromley 002,Bromley,0.110974862,South,Bromley,E09000006
E02000130,Bromley 004,Bromley,0.122334456,South,Bromley,E09000006
E02000131,Bromley 005,Bromley,0.176807072,South,Bromley,E09000006
E02000132,Bromley 006,Bromley,0.104143337,South,Bromley,E09000006
E02000133,Bromley 007,Bromley,0.049951503,South,Bromley,E09000006
E02000134,Bromley 008,Bromley,0.126254181,South,Bromley,E09000006
E02000135,Bromley 009,Bromley,0.191056911,South,Bromley,E09000006
E02000136,Bromley 010,Bromley,0.148858447,South,Bromley,E09000006
E02000137,Bromley 011,Bromley,0.079896907,South,Bromley,E09000006
E02000138,Bromley 012,Bromley,0.065735415,South,Bromley,E09000006
E02000139,Bromley 013,Bromley,0.07504576,South,Bromley,E09000006
E02000140,Bromley 014,Bromley,0.223441615,South,Bromley,E09000006
E02000141,Bromley 015,Bromley,0.138368984,South,Bromley,E09000006
E02000142,Bromley 016,Bromley,0.069915254,South,Bromley,E09000006
E02000144,Bromley 018,Bromley,0.088888889,South,Bromley,E09000006
E02000145,Bromley 019,Bromley,0.230204082,South,Bromley,E09000006
E02000146,Bromley 020,Bromley,0.10178117,South,Bromley,E09000006
E02000147,Bromley 021,Bromley,0.0541495,South,Bromley,E09000006
E02000148,Bromley 022,Bromley,0.059427733,South,Bromley,E09000006
E02000149,Bromley 023,Bromley,0.160500854,South,Bromley,E09000006
E02000150,Bromley 024,Bromley,0.065265487,South,Bromley,E09000006
E02000151,Bromley 025,Bromley,0.054811982,South,Bromley,E09000006
E02000152,Bromley 026,Bromley,0.155837563,South,Bromley,E09000006
E02000153,Bromley 027,Bromley,0.063716814,South,Bromley,E09000006
E02000154,Bromley 028,Bromley,0.106268657,South,Bromley,E09000006
E02000155,Bromley 029,Bromley,0.147413793,South,Bromley,E09000006
E02000156,Bromley 030,Bromley,0.067034366,South,Bromley,E09000006
E02000157,Bromley 031,Bromley,0.058014354,South,Bromley,E09000006
E02000158,Bromley 032,Bromley,0.168030551,South,Bromley,E09000006
E02000159,Bromley 033,Bromley,0.093406593,South,Bromley,E09000006
E02000160,Bromley 034,Bromley,0.087539936,South,Bromley,E09000006
E02000161,Bromley 035,Bromley,0.056167979,South,Bromley,E09000006
E02000162,Bromley 036,Bromley,0.112686567,South,Bromley,E09000006
E02000163,Bromley 037,Bromley,0.080624187,South,Bromley,E09000006
E02000165,Bromley 039,Bromley,0.133847232,South,Bromley,E09000006
E02000166,Camden 001,Camden,0.144341801,Central,Camden,E09000007
E02000167,Camden 002,Camden,0.02460733,Central,Camden,E09000007
E02000168,Camden 003,Camden,0.109605911,Central,Camden,E09000007
E02000169,Camden 004,Camden,0.029302326,Central,Camden,E09000007
E02000170,Camden 005,Camden,0.070334657,Central,Camden,E09000007
E02000171,Camden 006,Camden,0.093541203,Central,Camden,E09000007
E02000172,Camden 007,Camden,0.227399442,Central,Camden,E09000007
E02000173,Camden 008,Camden,0.040456432,Central,Camden,E09000007
E02000174,Camden 009,Camden,0.191788856,Central,Camden,E09000007
E02000175,Camden 010,Camden,0.080408424,Central,Camden,E09000007
E02000176,Camden 011,Camden,0.020626432,Central,Camden,E09000007
E02000177,Camden 012,Camden,0.205012531,Central,Camden,E09000007
E02000178,Camden 013,Camden,0.179164282,Central,Camden,E09000007
E02000179,Camden 014,Camden,0.14966402,Central,Camden,E09000007
E02000180,Camden 015,Camden,0.250636132,Central,Camden,E09000007
E02000181,Camden 016,Camden,0.08026554,Central,Camden,E09000007
E02000182,Camden 017,Camden,0.088284287,Central,Camden,E09000007
E02000183,Camden 018,Camden,0.110313316,Central,Camden,E09000007
E02000184,Camden 019,Camden,0.25,Central,Camden,E09000007
E02000185,Camden 020,Camden,0.211316975,Central,Camden,E09000007
E02000186,Camden 021,Camden,0.185324553,Central,Camden,E09000007
E02000187,Camden 022,Camden,0.305922454,Central,Camden,E09000007
E02000188,Camden 023,Camden,0.28529755,Central,Camden,E09000007
E02000189,Camden 024,Camden,0.169706582,Central,Camden,E09000007
E02000190,Camden 025,Camden,0.17860554,Central,Camden,E09000007
E02000191,Camden 026,Camden,0.153618907,Central,Camden,E09000007
E02000192,Camden 027,Camden,0.24005891,Central,Camden,E09000007
E02000193,Camden 028,Camden,0.174185464,Central,Camden,E09000007
E02000194,Croydon 001,Croydon,0.180443004,South,Croydon,E09000008
E02000195,Croydon 002,Croydon,0.152620761,South,Croydon,E09000008
E02000196,Croydon 003,Croydon,0.209884076,South,Croydon,E09000008
E02000197,Croydon 004,Croydon,0.194366197,South,Croydon,E09000008
E02000198,Croydon 005,Croydon,0.219854941,South,Croydon,E09000008
E02000199,Croydon 006,Croydon,0.171532847,South,Croydon,E09000008
E02000200,Croydon 007,Croydon,0.138768898,South,Croydon,E09000008
E02000201,Croydon 008,Croydon,0.200574241,South,Croydon,E09000008
E02000202,Croydon 009,Croydon,0.220163488,South,Croydon,E09000008
E02000203,Croydon 010,Croydon,0.209302326,South,Croydon,E09000008
E02000204,Croydon 011,Croydon,0.210526316,South,Croydon,E09000008
E02000206,Croydon 013,Croydon,0.203013481,South,Croydon,E09000008
E02000207,Croydon 014,Croydon,0.182550972,South,Croydon,E09000008
E02000208,Croydon 015,Croydon,0.21102791,South,Croydon,E09000008
E02000209,Croydon 016,Croydon,0.21677074,South,Croydon,E09000008
E02000210,Croydon 017,Croydon,0.147757256,South,Croydon,E09000008
E02000211,Croydon 018,Croydon,0.11352133,South,Croydon,E09000008
E02000212,Croydon 019,Croydon,0.227648681,South,Croydon,E09000008
E02000213,Croydon 020,Croydon,0.225626741,South,Croydon,E09000008
E02000214,Croydon 021,Croydon,0.12553011,South,Croydon,E09000008
E02000215,Croydon 022,Croydon,0.166742805,South,Croydon,E09000008
E02000216,Croydon 023,Croydon,0.062770563,South,Croydon,E09000008
E02000217,Croydon 024,Croydon,0.191489362,South,Croydon,E09000008
E02000218,Croydon 025,Croydon,0.227513228,South,Croydon,E09000008
E02000219,Croydon 026,Croydon,0.138815208,South,Croydon,E09000008
E02000220,Croydon 027,Croydon,0.149700599,South,Croydon,E09000008
E02000221,Croydon 028,Croydon,0.205270973,South,Croydon,E09000008
E02000222,Croydon 029,Croydon,0.121908127,South,Croydon,E09000008
E02000223,Croydon 030,Croydon,0.299437016,South,Croydon,E09000008
E02000224,Croydon 031,Croydon,0.128336173,South,Croydon,E09000008
E02000225,Croydon 032,Croydon,0.227690644,South,Croydon,E09000008
E02000226,Croydon 033,Croydon,0.112219451,South,Croydon,E09000008
E02000227,Croydon 034,Croydon,0.14978355,South,Croydon,E09000008
E02000228,Croydon 035,Croydon,0.060398078,South,Croydon,E09000008
E02000229,Croydon 036,Croydon,0.22295082,South,Croydon,E09000008
E02000230,Croydon 037,Croydon,0.104771274,South,Croydon,E09000008
E02000231,Croydon 038,Croydon,0.067822155,South,Croydon,E09000008
E02000232,Croydon 039,Croydon,0.09273183,South,Croydon,E09000008
E02000233,Croydon 040,Croydon,0.129791527,South,Croydon,E09000008
E02000234,Croydon 041,Croydon,0.118210863,South,Croydon,E09000008
E02000235,Croydon 042,Croydon,0.074155653,South,Croydon,E09000008
E02000236,Croydon 043,Croydon,0.094479226,South,Croydon,E09000008
E02000237,Croydon 044,Croydon,0.108183079,South,Croydon,E09000008
E02000238,Ealing 001,Ealing,0.230558097,West,Ealing,E09000009
E02000239,Ealing 002,Ealing,0.184820394,West,Ealing,E09000009
E02000240,Ealing 003,Ealing,0.270123839,West,Ealing,E09000009
E02000241,Ealing 004,Ealing,0.189502386,West,Ealing,E09000009
E02000242,Ealing 005,Ealing,0.211764706,West,Ealing,E09000009
E02000243,Ealing 006,Ealing,0.190633609,West,Ealing,E09000009
E02000244,Ealing 007,Ealing,0.181528662,West,Ealing,E09000009
E02000245,Ealing 008,Ealing,0.227864037,West,Ealing,E09000009
E02000246,Ealing 009,Ealing,0.245845761,West,Ealing,E09000009
E02000247,Ealing 010,Ealing,0.222302942,West,Ealing,E09000009
E02000248,Ealing 011,Ealing,0.150425114,West,Ealing,E09000009
E02000249,Ealing 012,Ealing,0.194139194,West,Ealing,E09000009
E02000250,Ealing 013,Ealing,0.04109589,West,Ealing,E09000009
E02000251,Ealing 014,Ealing,0.204460967,West,Ealing,E09000009
E02000252,Ealing 015,Ealing,0.220391349,West,Ealing,E09000009
E02000253,Ealing 016,Ealing,0.219522777,West,Ealing,E09000009
E02000254,Ealing 017,Ealing,0.21327283,West,Ealing,E09000009
E02000255,Ealing 018,Ealing,0.173404774,West,Ealing,E09000009
E02000256,Ealing 019,Ealing,0.066537468,West,Ealing,E09000009
E02000257,Ealing 020,Ealing,0.053664397,West,Ealing,E09000009
E02000258,Ealing 021,Ealing,0.10782241,West,Ealing,E09000009
E02000259,Ealing 022,Ealing,0.114869626,West,Ealing,E09000009
E02000260,Ealing 023,Ealing,0.199905927,West,Ealing,E09000009
E02000261,Ealing 024,Ealing,0.176346801,West,Ealing,E09000009
E02000262,Ealing 025,Ealing,0.156427759,West,Ealing,E09000009
E02000263,Ealing 026,Ealing,0.235724744,West,Ealing,E09000009
E02000264,Ealing 027,Ealing,0.068759342,West,Ealing,E09000009
E02000265,Ealing 028,Ealing,0.127350427,West,Ealing,E09000009
E02000266,Ealing 029,Ealing,0.313211845,West,Ealing,E09000009
E02000267,Ealing 030,Ealing,0.11522872,West,Ealing,E09000009
E02000268,Ealing 031,Ealing,0.123222749,West,Ealing,E09000009
E02000269,Ealing 032,Ealing,0.057841383,West,Ealing,E09000009
E02000270,Ealing 033,Ealing,0.238445378,West,Ealing,E09000009
E02000271,Ealing 034,Ealing,0.046918768,West,Ealing,E09000009
E02000272,Ealing 035,Ealing,0.084154663,West,Ealing,E09000009
E02000274,Ealing 037,Ealing,0.231714126,West,Ealing,E09000009
E02000275,Ealing 038,Ealing,0.213194869,West,Ealing,E09000009
E02000276,Ealing 039,Ealing,0.060283688,West,Ealing,E09000009
E02000277,Enfield 001,Enfield,0.205963556,North,Enfield,E09000010
E02000278,Enfield 002,Enfield,0.205474316,North,Enfield,E09000010
E02000279,Enfield 003,Enfield,0.157631359,North,Enfield,E09000010
E02000280,Enfield 004,Enfield,0.131607335,North,Enfield,E09000010
E02000281,Enfield 005,Enfield,0.170042194,North,Enfield,E09000010
E02000282,Enfield 006,Enfield,0.195801789,North,Enfield,E09000010
E02000283,Enfield 007,Enfield,0.183105023,North,Enfield,E09000010
E02000284,Enfield 008,Enfield,0.099625067,North,Enfield,E09000010
E02000285,Enfield 009,Enfield,0.102189781,North,Enfield,E09000010
E02000286,Enfield 010,Enfield,0.082972583,North,Enfield,E09000010
E02000287,Enfield 011,Enfield,0.088502269,North,Enfield,E09000010
E02000288,Enfield 012,Enfield,0.214213198,North,Enfield,E09000010
E02000289,Enfield 013,Enfield,0.100160256,North,Enfield,E09000010
E02000290,Enfield 014,Enfield,0.198818898,North,Enfield,E09000010
E02000291,Enfield 015,Enfield,0.150507849,North,Enfield,E09000010
E02000292,Enfield 016,Enfield,0.120971302,North,Enfield,E09000010
E02000293,Enfield 017,Enfield,0.054618474,North,Enfield,E09000010
E02000294,Enfield 018,Enfield,0.224364592,North,Enfield,E09000010
E02000295,Enfield 019,Enfield,0.100585938,North,Enfield,E09000010
E02000296,Enfield 020,Enfield,0.154536391,North,Enfield,E09000010
E02000297,Enfield 021,Enfield,0.099015634,North,Enfield,E09000010
E02000298,Enfield 022,Enfield,0.068897638,North,Enfield,E09000010
E02000299,Enfield 023,Enfield,0.244452802,North,Enfield,E09000010
E02000300,Enfield 024,Enfield,0.219740956,North,Enfield,E09000010
E02000301,Enfield 025,Enfield,0.245013298,North,Enfield,E09000010
E02000302,Enfield 026,Enfield,0.135896048,North,Enfield,E09000010
E02000303,Enfield 027,Enfield,0.246427025,North,Enfield,E09000010
E02000304,Enfield 028,Enfield,0.077427822,North,Enfield,E09000010
E02000305,Enfield 029,Enfield,0.138613861,North,Enfield,E09000010
E02000306,Enfield 030,Enfield,0.320032573,North,Enfield,E09000010
E02000307,Enfield 031,Enfield,0.188209607,North,Enfield,E09000010
E02000308,Enfield 032,Enfield,0.177575758,North,Enfield,E09000010
E02000309,Enfield 033,Enfield,0.229172932,North,Enfield,E09000010
E02000311,Enfield 035,Enfield,0.185388128,North,Enfield,E09000010
E02000312,Enfield 036,Enfield,0.201558442,North,Enfield,E09000010
E02000313,Greenwich 001,Greenwich,0.268330733,East,Greenwich,E09000011
E02000314,Greenwich 002,Greenwich,0.213079151,East,Greenwich,E09000011
E02000315,Greenwich 003,Greenwich,0.275092937,East,Greenwich,E09000011
E02000316,Greenwich 004,Greenwich,0.189929656,East,Greenwich,E09000011
E02000317,Greenwich 005,Greenwich,0.260176248,East,Greenwich,E09000011
E02000318,Greenwich 006,Greenwich,0.23775032,East,Greenwich,E09000011
E02000319,Greenwich 007,Greenwich,0.244271988,East,Greenwich,E09000011
E02000320,Greenwich 008,Greenwich,0.222035794,East,Greenwich,E09000011
E02000321,Greenwich 009,Greenwich,0.304871661,East,Greenwich,E09000011
E02000323,Greenwich 011,Greenwich,0.294759057,East,Greenwich,E09000011
E02000324,Greenwich 012,Greenwich,0.265737874,East,Greenwich,E09000011
E02000326,Greenwich 014,Greenwich,0.162357186,East,Greenwich,E09000011
E02000327,Greenwich 015,Greenwich,0.277986074,East,Greenwich,E09000011
E02000328,Greenwich 016,Greenwich,0.097211155,East,Greenwich,E09000011
E02000329,Greenwich 017,Greenwich,0.191640379,East,Greenwich,E09000011
E02000331,Greenwich 019,Greenwich,0.226929774,East,Greenwich,E09000011
E02000332,Greenwich 020,Greenwich,0.145686901,East,Greenwich,E09000011
E02000333,Greenwich 021,Greenwich,0.087902524,East,Greenwich,E09000011
E02000334,Greenwich 022,Greenwich,0.178783383,East,Greenwich,E09000011
E02000335,Greenwich 023,Greenwich,0.09252669,East,Greenwich,E09000011
E02000337,Greenwich 025,Greenwich,0.231828194,East,Greenwich,E09000011
E02000339,Greenwich 027,Greenwich,0.108443709,East,Greenwich,E09000011
E02000340,Greenwich 028,Greenwich,0.150586114,East,Greenwich,E09000011
E02000341,Greenwich 029,Greenwich,0.256036217,East,Greenwich,E09000011
E02000342,Greenwich 030,Greenwich,0.1875,East,Greenwich,E09000011
E02000343,Greenwich 031,Greenwich,0.211267606,East,Greenwich,E09000011
E02000344,Greenwich 032,Greenwich,0.113853503,East,Greenwich,E09000011
E02000345,Hackney 001,Hackney,0.177626194,East,Hackney,E09000012
E02000346,Hackney 002,Hackney,0.318181818,East,Hackney,E09000012
E02000347,Hackney 003,Hackney,0.174030354,East,Hackney,E09000012
E02000348,Hackney 004,Hackney,0.203939394,East,Hackney,E09000012
E02000350,Hackney 006,Hackney,0.20071048,East,Hackney,E09000012
E02000351,Hackney 007,Hackney,0.199098422,East,Hackney,E09000012
E02000352,Hackney 008,Hackney,0.174404762,East,Hackney,E09000012
E02000353,Hackney 009,Hackney,0.130747126,East,Hackney,E09000012
E02000354,Hackney 010,Hackney,0.229516052,East,Hackney,E09000012
E02000355,Hackney 011,Hackney,0.204220981,East,Hackney,E09000012
E02000356,Hackney 012,Hackney,0.097486672,East,Hackney,E09000012
E02000357,Hackney 013,Hackney,0.243167875,East,Hackney,E09000012
E02000358,Hackney 014,Hackney,0.20460632,East,Hackney,E09000012
E02000359,Hackney 015,Hackney,0.213915618,East,Hackney,E09000012
E02000360,Hackney 016,Hackney,0.270810211,East,Hackney,E09000012
E02000361,Hackney 017,Hackney,0.192528736,East,Hackney,E09000012
E02000362,Hackney 018,Hackney,0.234482759,East,Hackney,E09000012
E02000363,Hackney 019,Hackney,0.287741935,East,Hackney,E09000012
E02000364,Hackney 020,Hackney,0.189957653,East,Hackney,E09000012
E02000365,Hackney 021,Hackney,0.190766109,East,Hackney,E09000012
E02000366,Hackney 022,Hackney,0.229508197,East,Hackney,E09000012
E02000367,Hackney 023,Hackney,0.179564997,East,Hackney,E09000012
E02000368,Hackney 024,Hackney,0.272995573,East,Hackney,E09000012
E02000369,Hackney 025,Hackney,0.250675937,East,Hackney,E09000012
E02000370,Hackney 026,Hackney,0.272116461,East,Hackney,E09000012
